uf_nome;uf;municipio;populacao;ibge;IBGE_SEMCOD;ADS;SRS
CE;23;Salitre;16635;2311959;231195;CRATO;CARIRI
CE;23;Santana do Acaraú;32654;2312007;231200;SOBRAL;SOBRAL
CE;23;Santana do Cariri;17712;2312106;231210;CRATO;CARIRI
CE;23;Santa Quitéria;43711;2312205;231220;SOBRAL;SOBRAL
CE;23;São Benedito;48131;2312304;231230;TIANGUA;SOBRAL
CE;23;São Gonçalo do Amarante;48869;2312403;231240;CAUCAIA;FORTALEZA
CE;23;São João do Jaguaribe;7601;2312502;231250;LIMOEIRO;LITORAL LESTE/JAGUARIBE
CE;23;São Luís do Curu;13044;2312601;231260;CAUCAIA;FORTALEZA
CE;23;Senador Pompeu;25456;2312700;231270;QUIXADA;SERTAO CENTRAL
CE;23;Senador Sá;7691;2312809;231280;SOBRAL;SOBRAL
CE;23;Sobral;210711;2312908;231290;SOBRAL;SOBRAL
CE;23;Solonópole;18357;2313005;231300;QUIXADA;SERTAO CENTRAL
CE;23;Tabuleiro do Norte;30807;2313104;231310;LIMOEIRO;LITORAL LESTE/JAGUARIBE
CE;23;Tamboril;26225;2313203;231320;CRATEUS;SOBRAL
CE;23;Tarrafas;8573;2313252;231325;CRATO;CARIRI
CE;23;Tauá;59062;2313302;231330;TAUA;SERTAO CENTRAL
CE;23;Tejuçuoca;19371;2313351;231335;CAUCAIA;FORTALEZA
CE;23;Tianguá;76537;2313401;231340;TIANGUA;SOBRAL
CE;23;Trairi;56291;2313500;231350;ITAPIPOCA;FORTALEZA
CE;23;Tururu;16431;2313559;231355;ITAPIPOCA;FORTALEZA
CE;23;Ubajara;35047;2313609;231360;TIANGUA;SOBRAL
CE;23;Umari;7736;2313708;231370;ICO;CARIRI
CE;23;Umirim;19903;2313757;231375;ITAPIPOCA;FORTALEZA
CE;23;Uruburetama;22040;2313807;231380;ITAPIPOCA;FORTALEZA
CE;23;Uruoca;13915;2313906;231390;SOBRAL;SOBRAL
CE;23;Varjota;18471;2313955;231395;SOBRAL;SOBRAL
CE;23;Várzea Alegre;40903;2314003;231400;CRATO;CARIRI
CE;23;Viçosa do Ceará;61410;2314102;231410;TIANGUA;SOBRAL
